time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.080706,1.1236,-0.2264,0.8686,1.438
1.086060,1.1959,-0.2255,1.0532,1.609
1.090381,1.2491,-0.1967,1.2643,1.788
1.094150,1.3076,-0.1875,1.4966,1.996
1.099227,1.3742,-0.1908,1.7115,2.203
1.104044,1.4448,-0.2040,1.8755,2.376
1.108430,1.5277,-0.2404,1.9793,2.512
1.113725,1.5765,-0.2840,2.0145,2.574
1.117791,1.6071,-0.3415,2.0156,2.600
1.122430,1.6330,-0.4078,2.0046,2.618
1.127424,1.6442,-0.5041,1.9844,2.626
1.131996,1.6614,-0.5989,1.9559,2.635
1.137224,1.7124,-0.6802,1.9482,2.682
1.141241,1.8081,-0.7908,1.9598,2.781
1.145935,1.9596,-0.9018,2.0200,2.955
1.150679,2.1590,-0.9676,2.1461,3.194
1.156547,2.3486,-1.0073,2.3095,3.444
1.159596,2.5357,-1.0137,2.4815,3.690
1.164820,2.7449,-0.9842,2.6567,3.945
1.169157,2.9532,-0.9498,2.8346,4.202
1.173788,3.1572,-0.9059,3.0547,4.486
1.179104,3.3488,-0.8312,3.3637,4.819
1.183327,3.4795,-0.7191,3.7242,5.147
1.188907,3.5058,-0.5678,4.1202,5.440
1.193129,3.4291,-0.3733,4.5336,5.697
1.197680,3.2795,-0.1532,4.8939,5.893
1.202199,3.0793,0.0745,5.1859,6.032
1.206639,2.8388,0.3087,5.4115,6.119
1.212130,2.5367,0.5412,5.5894,6.162
1.216236,2.1782,0.7564,5.6571,6.109
1.220995,1.7707,0.9584,5.5047,5.861
1.225600,1.3308,1.1229,5.1229,5.411
1.230331,0.8912,1.2406,4.5418,4.792
1.235001,0.4335,1.3070,3.7774,4.021
1.239496,-0.0317,1.3231,2.9102,3.197
1.244398,-0.4632,1.2948,1.9947,2.423
1.249111,-0.8411,1.2256,1.0421,1.815
1.254080,-1.2267,1.1476,0.1012,1.683
1.258451,-1.6255,1.1289,-0.7410,2.113
1.264895,-1.6814,1.0101,-1.5090,2.475
1.267875,-1.4545,0.7510,-2.2014,2.743
1.273031,-1.3501,0.4978,-2.6863,3.047
1.277249,-1.3350,0.2674,-2.9709,3.268
1.281932,-1.3184,0.0954,-3.1130,3.382
1.287170,-1.2885,-0.0157,-3.1436,3.397
1.291060,-1.2190,-0.0729,-3.0533,3.288
1.295932,-1.0836,-0.1313,-2.8615,3.063
1.300225,-0.8722,-0.1907,-2.6142,2.762
1.305194,-0.6319,-0.2275,-2.3405,2.435
1.309894,-0.3737,-0.2705,-1.9863,2.039
1.314610,-0.0724,-0.3177,-1.5406,1.575
1.319613,0.2448,-0.3623,-1.0619,1.148
1.323708,0.5584,-0.4145,-0.5613,0.894
1.328933,0.8440,-0.4580,-0.0740,0.963
1.333478,1.0843,-0.4934,0.3032,1.229
1.338997,1.2259,-0.5565,0.5355,1.449
1.342919,1.2439,-0.6234,0.6295,1.527
1.347575,1.1558,-0.6673,0.6013,1.464
1.352092,0.9814,-0.7119,0.4531,1.294
1.356675,0.7087,-0.7473,0.1612,1.042
1.362100,0.3474,-0.7655,-0.2716,0.883
1.367138,-0.0647,-0.7660,-0.8067,1.114
1.370700,-0.4943,-0.7580,-1.3694,1.641
1.375784,-0.9084,-0.7408,-1.9139,2.244
1.380549,-1.3101,-0.7092,-2.4348,2.854
1.385024,-1.7145,-0.6629,-2.9171,3.448
1.389626,-2.0794,-0.6184,-3.3315,3.976
1.394336,-2.3984,-0.5803,-3.6823,4.433
1.399334,-2.6820,-0.5343,-3.9665,4.818
1.403981,-2.8999,-0.4828,-4.1883,5.117
1.408340,-3.0603,-0.4235,-4.3615,5.345
1.413751,-3.1806,-0.3545,-4.4404,5.474
1.418052,-3.2757,-0.2903,-4.3984,5.492
1.422600,-3.3511,-0.2244,-4.2544,5.420
1.427210,-3.3883,-0.1430,-4.0272,5.265
1.432397,-3.3710,-0.0584,-3.7334,5.030
1.437504,-3.2922,0.0332,-3.3852,4.722
1.441009,-3.1714,0.1146,-3.0135,4.376
1.446106,-3.0397,0.1780,-2.6758,4.054
1.450942,-2.8946,0.2302,-2.3937,3.763
1.457974,-2.7192,0.2541,-2.1459,3.473
1.459713,-2.5277,0.2664,-1.9371,3.196
1.464881,-2.3416,0.2549,-1.7819,2.954
1.469718,-2.1436,0.2032,-1.6828,2.733
1.474908,-1.9337,0.1353,-1.6279,2.531
1.479213,-1.7281,0.0850,-1.6388,2.383
1.483317,-1.4981,0.0480,-1.7181,2.280
1.489098,-1.2744,0.0104,-1.8275,2.228
1.493222,-1.0975,-0.0202,-1.9455,2.234
1.497897,-0.9743,-0.0385,-2.0652,2.284
1.501914,-0.8809,-0.0537,-2.1625,2.336
1.506787,-0.7911,-0.0727,-2.1990,2.338
1.511766,-0.7002,-0.0808,-2.1940,2.304
1.515907,-0.5964,-0.0849,-2.1855,2.267
1.521087,-0.4560,-0.0873,-2.1425,2.192
1.525603,-0.2860,-0.0878,-2.0577,2.079
1.531112,-0.1200,-0.0886,-1.9289,1.935
1.535151,0.0325,-0.0898,-1.7513,1.754
1.540955,0.2072,-0.0724,-1.5154,1.531
1.543976,0.4256,-0.0583,-1.2043,1.279
1.548839,0.7065,-0.0480,-0.8564,1.111
1.553368,1.0407,-0.0418,-0.5316,1.169
1.558168,1.4044,-0.0378,-0.2541,1.428
1.563002,1.7885,-0.0409,-0.0170,1.789
1.567685,2.1720,-0.0585,0.2057,2.182
1.572909,2.5127,-0.0788,0.4062,2.547
1.577071,2.7899,-0.0966,0.5529,2.846
1.582173,3.0023,-0.1164,0.6641,3.077
1.586718,3.1652,-0.1256,0.7560,3.257
1.591835,3.2817,-0.1164,0.8043,3.381
1.596903,3.3237,-0.1051,0.8062,3.422
1.600606,3.2723,-0.0865,0.8046,3.371
1.606843,3.1113,-0.0534,0.8305,3.221
1.609768,2.8813,0.0133,0.8885,3.015
1.615939,2.6204,0.0990,0.9886,2.802
1.619390,2.3375,0.1959,1.1216,2.600
1.624127,2.0060,0.2773,1.2422,2.376
1.629022,1.6542,0.3666,1.3510,2.167
1.633923,1.3100,0.4752,1.4580,2.017
1.639651,0.9534,0.5570,1.5400,1.895
1.642967,0.6005,0.6378,1.6452,1.864
1.647516,0.2648,0.7145,1.8102,1.964
1.652648,-0.0211,0.7722,1.9827,2.128
1.656985,-0.2246,0.7936,2.1202,2.275
1.661525,-0.3514,0.7548,2.2258,2.376
1.666053,-0.3903,0.6678,2.2902,2.417
1.671569,-0.3344,0.5374,2.2946,2.380
1.675953,-0.2310,0.3883,2.2433,2.288
1.681565,-0.1275,0.2521,2.1386,2.157
1.684808,-0.0521,0.1439,2.0207,2.027
1.689851,0.0071,0.0592,1.9544,1.955
1.694667,0.0770,0.0082,1.9584,1.960
1.699216,0.1435,-0.0375,2.0157,2.021
1.704734,0.2004,-0.0947,2.0706,2.082
1.708612,0.2625,-0.1585,2.1179,2.140
1.714807,0.3283,-0.2267,2.1810,2.217
1.718325,0.4007,-0.2947,2.2618,2.316
1.722478,0.4633,-0.3484,2.3122,2.384
1.727042,0.4804,-0.3690,2.3059,2.384
1.732535,0.4277,-0.3424,2.2336,2.300
1.737961,0.3500,-0.2620,2.1079,2.153
1.741271,0.3037,-0.1499,1.9485,1.978
1.746928,0.3187,-0.0424,1.7587,1.788
1.750972,0.3940,0.0219,1.5272,1.577
1.756380,0.4734,0.0429,1.2451,1.333
1.759667,0.5323,0.0398,0.9202,1.064
1.766893,0.5794,0.0224,0.5890,0.827
1.770206,0.6099,0.0148,0.2899,0.675
1.774858,0.6091,0.0033,0.0301,0.610
1.779576,0.5655,-0.0214,-0.1880,0.596
1.783369,0.5086,-0.0539,-0.3721,0.633
1.789816,0.4583,-0.0888,-0.5084,0.690
1.792999,0.3988,-0.1329,-0.6072,0.739
1.797728,0.3219,-0.2024,-0.6788,0.778
1.802292,0.2525,-0.2637,-0.7216,0.809
1.806764,0.1821,-0.2856,-0.7507,0.824
1.812776,0.0972,-0.2991,-0.7883,0.849
1.816435,-0.0229,-0.3017,-0.8325,0.886
1.821788,-0.1775,-0.2791,-0.8839,0.944
1.825538,-0.3568,-0.2220,-0.9426,1.032
1.831811,-0.5556,-0.1356,-1.0042,1.156
1.835522,-0.7596,-0.0560,-1.0901,1.330
1.839399,-0.9597,0.0067,-1.2000,1.537
1.844221,-1.1394,0.0571,-1.3410,1.761
1.848999,-1.3112,0.0948,-1.5006,1.995
1.854816,-1.4903,0.1077,-1.6664,2.238
1.858275,-1.6770,0.1173,-1.8355,2.489
1.865929,-1.8577,0.1235,-2.0196,2.747
1.867786,-2.0235,0.1166,-2.2277,3.012
1.875695,-2.1988,0.0945,-2.4330,3.281
1.876909,-2.3792,0.0572,-2.6400,3.554
1.881855,-2.5462,0.0168,-2.8389,3.813
1.886853,-2.7026,-0.0312,-3.0316,4.061
1.891327,-2.8274,-0.0841,-3.2082,4.277
1.896046,-2.9256,-0.1371,-3.3544,4.453
1.900264,-2.9954,-0.2090,-3.4721,4.590
1.905244,-3.0131,-0.2782,-3.5302,4.650
1.909959,-2.9812,-0.3447,-3.5335,4.636
1.914564,-2.8854,-0.4203,-3.4940,4.551
1.919713,-2.7475,-0.5052,-3.4165,4.413
1.924298,-2.6005,-0.6063,-3.2870,4.235
1.929447,-2.4393,-0.7142,-3.1153,4.021
1.933138,-2.2708,-0.8026,-2.9280,3.791
1.939465,-2.0801,-0.8858,-2.7278,3.543
1.943397,-1.8975,-0.9494,-2.5226,3.296
1.947513,-1.7125,-0.9959,-2.3392,3.065
1.951851,-1.5029,-1.0538,-2.1709,2.843
1.957279,-1.3232,-1.1207,-2.0039,2.650
1.961429,-1.1775,-1.1844,-1.8743,2.510
1.966476,-1.0657,-1.2281,-1.7654,2.400
1.970960,-0.9857,-1.2541,-1.6675,2.308
1.975679,-0.9377,-1.2696,-1.5755,2.230
1.980334,-0.8936,-1.2769,-1.4699,2.142
1.985679,-0.8208,-1.2883,-1.3596,2.045
1.990240,-0.7129,-1.3109,-1.2202,1.928
1.994353,-0.5805,-1.3354,-1.0654,1.804
1.999049,-0.4410,-1.3640,-0.9211,1.704
2.004697,-0.2905,-1.4158,-0.7866,1.645
2.008484,-0.1361,-1.4667,-0.6307,1.602
2.013622,0.0435,-1.5046,-0.4176,1.562
2.017818,0.2630,-1.5416,-0.1427,1.570
2.023487,0.4991,-1.5799,0.1576,1.664
2.026972,0.7380,-1.6287,0.4375,1.841
2.032003,0.9631,-1.7024,0.6920,2.075
2.037761,1.1751,-1.7933,0.9520,2.346
2.041014,1.3458,-1.8847,1.2482,2.631
2.046659,1.4667,-1.9644,1.5677,2.910
2.050584,1.5626,-2.0038,1.9003,3.173
2.055575,1.6202,-2.0056,2.2310,3.409
2.059736,1.6379,-1.9866,2.5399,3.617
